Registration Number,Annual Turnover
20001,25319204
20002,34381681
20003,28728672
20004,36973497
20005,49916357
20006,32060235
20007,28084113
20008,23861239
20009,25836352
20010,23606931
20011,23531503
20012,33194161
20013,33114275
20014,29194615
20015,15545060
20016,31465091
20017,40176132
20018,16017440
20019,38569219
20020,26300031
20021,13961390
20022,34861948
20023,26668409
20024,17639895
20025,31126742
20026,25046309
20027,37891568
20028,33472645
20029,27444268
20030,28468974
20031,33537643
20032,38549905
20033,23888249
20034,39892925
20035,24494665
20036,35861212
20037,35983276
20038,31702724
20039,21440108
20040,32240593
20041,26920960
20042,22557078
20043,31838370
20044,21350424
20045,38571017
20046,24805381
20047,27469032
20048,34603929
20049,32783910
20050,37467441
20051,33930673
20052,43787569
20053,17738210
20054,18153356
20055,33676499
20056,35202280
20057,19888984
20058,35067974
20059,39786870
20060,30557178
20061,15351306
20062,27867083
20063,36860706
20064,43596332
20065,37292813
20066,44778922
20067,20260730
20068,18694951
20069,24856718
20070,50753858
20071,24405771
20072,10366998
20073,19660949
20074,26424012
20075,23563378
20076,35330786
20077,39876231
20078,32845755
20079,34179651
20080,27839991
20081,30444578
20082,34846286
20083,28106145
20084,35137774
20085,35870978
20086,29292700
20087,23866195
20088,35130313
20089,40460996
20090,31938663
20091,31709916
20092,13174040
20093,37854565
20094,20465236
20095,35192644
20096,39582725
20097,24798999
20098,30842604
20099,30536897
20100,24553394
20101,50103685
20102,30029470
20103,33012930
20104,29471241
20105,45597933
20106,39051330
20107,36080392
20108,28118991
20109,25774129
20110,26216273
20111,22170212
20112,31494417
20113,21915341
20114,42999138
20115,38034626
20116,41097264
20117,20982713
20118,40634708
20119,26176206
20120,35160662
20121,18464173
20122,35748477
20123,35419468
20124,21687956
20125,53862382
20126,24127988
20127,20288082
20128,17618038
20129,31479245
20130,31686157
20131,25525270
20132,14619454
20133,23309212
20134,35813039
20135,29217685
20136,24684423
20137,38564493
20138,28855024
20139,29648143
20140,26221324
20141,43252997
20142,22851838
20143,26719941
20144,18241065
20145,28738907
20146,32172992
20147,53286808
20148,33483251
20149,28570289
20150,23449289
20151,33776550
20152,17238270
20153,35418995
20154,30648947
20155,36070207
20156,21247720
20157,28929548
20158,35664454
20159,36878099
20160,32297353
20161,30921635
20162,30410382
20163,34556172
20164,43006403
20165,28287201
20166,24027973
20167,18393911
20168,25273387
20169,32059237
20170,22765836
20171,40421745
20172,36180827
20173,25703189
20174,40295431
20175,30939547
20176,32017794
20177,33193473
20178,25423465
20179,24292465
20180,35193085
20181,43922879
20182,44540087
20183,20756619
20184,34681306
20185,27695628
20186,30835743
20187,23125200
20188,19894106
20189,34059085
20190,41185637
20191,20415398
20192,20916250
20193,33178186
20194,39218845
20195,24372684
20196,27065625
20197,32551525
20198,17357074
20199,25072282
20200,41984906
20201,31224593
20202,34686938
20203,25744230
20204,26231511
20205,21087184
20206,45839719
20207,36113199
20208,30762331
20209,33534498
20210,24038806
20211,21242362
20212,33582456
20213,38873455
20214,30649769
20215,19861929
20216,20342678
20217,31405719
20218,38051518
20219,36815100
20220,36331044
20221,26457007
20222,25454132
20223,24897569
20224,26138056
20225,17734221
20226,39179929
20227,42271907
20228,36300389
20229,29875407
20230,25552785
20231,16226164
20232,39478799
20233,30602502
20234,47267893
20235,23213355
20236,22949874
20237,35568824
20238,19270653
20239,24645251
20240,45651424
20241,29957250
20242,24119322
20243,38244205
20244,16107223
20245,30720018
20246,20752050
20247,16262896
20248,34714817
20249,19339226
20250,31464313
20251,40797687
20252,40207413
20253,24359603
20254,43484415
20255,30722897
20256,23896248
20257,27687219
20258,33800232
20259,43509553
20260,18238076
20261,33763315
20262,16357375
20263,39091962
20264,23245797
20265,26288038
20266,22440762
20267,22883930
20268,30836299
20269,38232315
20270,29888348
20271,50839047
20272,31026107
20273,24663189
20274,30905015
20275,34799204
20276,32594139
20277,19920277
20278,29097500
20279,32855915
20280,39091296
20281,28362048
20282,34947253
20283,22472414
20284,23821673
20285,26028521
20286,33943054
20287,26794270
20288,25832286
20289,23517078
20290,34997785
20291,40912079
20292,29431586
20293,26531480
20294,31127045
20295,40919733
20296,23808284
20297,21381344
20298,23952164
20299,36217333
20300,21652905
20301,17408867
20302,41269646
20303,18065082
20304,24548208
20305,36615398
20306,29818002
20307,28272418
20308,15603131
20309,34743925
20310,33094862
20311,22628310
20312,36133804
20313,38471432
20314,18707049
20315,27016707
20316,22388983
20317,17631709
20318,20833155
20319,15063388
20320,20303819
20321,40581216
20322,31978041
20323,22766033
20324,45730323
20325,31138411
20326,29043644
20327,31337017
20328,13844247
20329,28618847
20330,38108101
20331,28876112
20332,35202885
20333,38685846
20334,53991846
20335,37820344
20336,36436508
20337,42738678
20338,27117605
20339,44549137
20340,32312644
20341,38491507
20342,20253953
20343,33752636
20344,24697012
20345,16088531
20346,40905715
20347,40994353
20348,28356325
20349,31952979
20350,21069389
20351,32015494
20352,27033690
20353,33679586
20354,22068203
20355,23040649
20356,24856109
20357,46223008
20358,42019542
20359,35610934
20360,28607854
20361,31558958
20362,24289516
20363,28997721
20364,38470366
20365,15954539
20366,30713495
20367,23488520
20368,31193599
20369,41696479
20370,39962156
20371,50438120
20372,36619092
20373,32254973
20374,14421742
20375,30875947
20376,23258353
20377,30968147
20378,34064916
20379,30597995
20380,33170747
20381,40826141
20382,21543962
20383,32988843
20384,55315251
20385,18360355
20386,30195404
20387,19547219
20388,18247881
20389,25423458
20390,50038991
20391,24714249
20392,42302872
20393,21404186
20394,13313187
20395,34991532
20396,30798541
20397,34348737
20398,32933909
20399,21905706
20400,33978167
20401,37747932
20402,33230606
20403,32337262
20404,21820293
20405,37258695
20406,47915500
20407,25023488
20408,17049760
20409,24863477
20410,27199743
20411,23520490
20412,29529091
20413,20627654
20414,23055070
20415,24190943
20416,33506828
20417,32995802
20418,25166673
20419,11184850
20420,34096655
20421,30692990
20422,37328710
20423,34421971
20424,37437459
20425,19568233
20426,27111891
20427,28228096
20428,39629823
20429,36170996
20430,22293876
20431,25121485
20432,15502475
20433,36834591
20434,19393168
20435,41660338
20436,36616097
20437,40245090
20438,31899417
20439,36088447
20440,26171114
20441,18998147
20442,33227568
20443,24398491
20444,31630755
20445,26805451
20446,20213760
20447,29611012
20448,26224510
20449,43434090
20450,30718784
20451,34880452
20452,13376803
20453,28027428
20454,34106365
20455,44642975
20456,19776927
20457,46254318
20458,30083958
20459,31050105
20460,24872741
20461,37932192
20462,23111201
20463,36668820
20464,26770347
20465,31178379
20466,38123266
20467,12550963
20468,17076997
20469,43915310
20470,20039348
20471,32964596
20472,31136572
20473,43583589
20474,19818915
20475,31514613
20476,20785654
20477,30254327
20478,42870313
20479,39682204
20480,26867120
20481,34126529
20482,36550024
20483,29229479
20484,35133704
20485,31541523
20486,10163670
20487,12609381
20488,27789889
20489,31571722
20490,19183639
20491,29219508
20492,33687472
20493,30264385
20494,29894324
20495,33325098
20496,36004544
20497,25646244
20498,33752172
20499,51010228
20500,33434764
