Registration Number,Annual Turnover
20001,27873456
20002,34225236
20003,27135946
20004,45750724
20005,37719630
20006,35891196
20007,31730064
20008,28139784
20009,29883558
20010,17160414
20011,26784548
20012,38408308
20013,41471270
20014,23547730
20015,23251636
20016,35413436
20017,39392904
20018,15279082
20019,41143064
20020,25389564
20021,20687888
20022,37689476
20023,21783156
20024,25151086
20025,32043254
20026,20757816
20027,35163544
20028,34568100
20029,35893000
20030,26372066
20031,43976976
20032,38043770
20033,28270426
20034,34532270
20035,22122318
20036,24270206
20037,38867180
20038,32552742
20039,23704174
20040,28217006
20041,28905480
20042,23416920
20043,28532042
20044,26988792
20045,39100828
20046,20462066
20047,25399406
20048,36124204
20049,24815306
20050,25414758
20051,42523784
20052,40526092
20053,19515792
20054,29296916
20055,38211664
20056,28437742
20057,24964744
20058,27962074
20059,37142236
20060,28438956
20061,12278061
20062,32072550
20063,33034348
20064,47769804
20065,31176482
20066,38833704
20067,23780130
20068,17357828
20069,25127730
20070,47010988
20071,28003100
20072,23610454
20073,17553128
20074,26516400
20075,24901392
20076,28740996
20077,34806070
20078,28766154
20079,27692968
20080,17691804
20081,35559556
20082,29982892
20083,30295882
20084,40013050
20085,37523948
20086,32496258
20087,24164030
20088,37625860
20089,36985560
20090,31168040
20091,23711134
20092,14983618
20093,25337210
20094,18952258
20095,41063748
20096,28115458
20097,32151968
20098,28797378
20099,27541662
20100,24069354
20101,32745096
20102,30920912
20103,36041100
20104,22087504
20105,31475624
20106,40305990
20107,26310386
20108,29302748
20109,36542090
20110,29061494
20111,30728076
20112,35114280
20113,21726308
20114,41378164
20115,37951824
20116,52350852
20117,18533304
20118,40281228
20119,23182340
20120,37685696
20121,27765484
20122,29215424
20123,29232800
20124,19613756
20125,47754660
20126,29061258
20127,27263068
20128,23913522
20129,31708544
20130,34392464
20131,23175168
20132,16870512
20133,26374190
20134,35993668
20135,32682890
20136,22204218
20137,31547812
20138,31806836
20139,34954816
20140,24148788
20141,38046364
20142,27511076
20143,30446952
20144,21832880
20145,22690568
20146,32974666
20147,38313140
20148,28847676
20149,29197438
20150,23339336
20151,38825880
20152,18748890
20153,25271722
20154,29052078
20155,38278760
20156,20420878
20157,32027724
20158,39643892
20159,30071350
20160,31655966
20161,35597090
20162,26719276
20163,37113060
20164,39803944
20165,29768088
20166,34835324
20167,16363469
20168,29925464
20169,37859668
20170,21355568
20171,40488284
20172,31849388
20173,24003664
20174,30629694
20175,28921448
20176,37380720
20177,33760376
20178,28575124
20179,16739247
20180,35226176
20181,35444564
20182,33552268
20183,26575474
20184,27432572
20185,21997948
20186,26638510
20187,21982618
20188,19911244
20189,31518770
20190,38798412
20191,20663700
20192,23006468
20193,33029808
20194,28456132
20195,22926902
20196,28247956
20197,28749944
20198,23288092
20199,25189372
20200,42387840
20201,34379028
20202,34101504
20203,20409670
20204,26097382
20205,21509258
20206,40866156
20207,29930906
20208,27884212
20209,30577612
20210,24275202
20211,20244536
20212,32168590
20213,38774052
20214,22876926
20215,19763024
20216,16051718
20217,37077064
20218,35756930
20219,45407840
20220,36775360
20221,26290826
20222,20602468
20223,26692390
20224,24752650
20225,32169372
20226,35844212
20227,38323736
20228,24053854
20229,28120640
20230,29225182
20231,29232302
20232,36721468
20233,42623070
20234,40962916
20235,27668876
20236,25793426
20237,28428502
20238,19468948
20239,20437492
20240,42348504
20241,22204574
20242,25265618
20243,36925760
20244,15787484
20245,31117020
20246,27134056
20247,17357420
20248,31504274
20249,19996080
20250,39823464
20251,38642132
20252,32064460
20253,20749586
20254,36498290
20255,24353418
20256,24874658
20257,18761798
20258,37668500
20259,45953496
20260,23523260
20261,33044962
20262,17421688
20263,34184300
20264,20280916
20265,26790266
20266,22954360
20267,26802086
20268,26273112
20269,27126578
20270,32602866
20271,40608040
20272,31658734
20273,28156728
20274,23423228
20275,32651932
20276,35478740
20277,22619550
20278,30470984
20279,25480936
20280,37953440
20281,28106618
20282,27390078
20283,21585180
20284,24949642
20285,17652168
20286,34501732
20287,22945600
20288,23162806
20289,31339506
20290,33207056
20291,37481870
20292,35372530
20293,25794038
20294,36387520
20295,31788586
20296,24861354
20297,16519122
20298,31184464
20299,33691120
20300,25923616
20301,18241352
20302,33894130
20303,23486178
20304,22140964
20305,26996982
20306,19244706
20307,36297510
20308,18218982
20309,28374352
20310,28097624
20311,27655440
20312,38139576
20313,35084520
20314,21533732
20315,24333830
20316,18893622
20317,18621896
20318,21531792
20319,20501464
20320,20224078
20321,33358836
20322,31480142
20323,26527044
20324,34676908
20325,21732366
20326,38295420
20327,27868492
20328,18179188
20329,17285744
20330,33358646
20331,27401364
20332,38283570
20333,44384230
20334,50623980
20335,32414716
20336,26138258
20337,31746776
20338,25348308
20339,44832184
20340,34201500
20341,33432306
20342,21220820
20343,37221988
20344,17792104
20345,20074258
20346,32431606
20347,42405340
20348,31272692
20349,38142390
20350,26189956
20351,28636870
20352,31162174
20353,36600316
20354,17637410
20355,20456586
20356,25928786
20357,43522530
20358,42103880
20359,29719990
20360,23454464
20361,32398604
20362,25327328
20363,26340940
20364,39024108
20365,17892108
20366,23191398
20367,22133724
20368,26061418
20369,45793560
20370,30560084
20371,41006676
20372,38988624
20373,32179550
20374,16783672
20375,23573176
20376,19296340
20377,32942638
20378,36824880
20379,23862674
20380,27481482
20381,42115544
20382,27551720
20383,28225796
20384,33758810
20385,25114506
20386,27663094
20387,20923446
20388,19181502
20389,29216680
20390,56944300
20391,17114786
20392,45601052
20393,21344638
20394,15078833
20395,21999570
20396,29275280
20397,26650058
20398,29637050
20399,25844580
20400,22364620
20401,23617274
20402,23041504
20403,26326584
20404,23556808
20405,34862212
20406,35097120
20407,20522668
20408,20028942
20409,27461988
20410,26207042
20411,25612862
20412,29817814
20413,29101862
20414,20868350
20415,25254304
20416,34398330
20417,24582604
20418,21874974
20419,16741365
20420,34433652
20421,32417842
20422,37019620
20423,29227478
20424,28174322
20425,20552058
20426,25976220
20427,23330674
20428,39350896
20429,36243860
20430,20742988
20431,32292426
20432,14197382
20433,31106240
20434,22494794
20435,29981554
20436,40447444
20437,35061396
20438,39572624
20439,37738056
20440,23292130
20441,21244698
20442,25250276
20443,27020658
20444,26042830
20445,25571210
20446,17685418
20447,23379582
20448,21024980
20449,43543520
20450,25013196
20451,31809780
20452,20503354
20453,26785680
20454,32193274
20455,50294524
20456,19060460
20457,40817290
20458,28572504
20459,30474338
20460,25407210
20461,38465510
20462,20244406
20463,39931740
20464,24164250
20465,31971510
20466,34949636
20467,18970870
20468,22311958
20469,37950500
20470,23558492
20471,27335782
20472,36874616
20473,42761340
20474,21248150
20475,37679108
20476,13885321
20477,26769820
20478,29076434
20479,44561890
20480,35797372
20481,39382972
20482,39680092
20483,36303800
20484,46443516
20485,24501262
20486,17324610
20487,18457078
20488,33574040
20489,30213934
20490,25449906
20491,33000146
20492,30841030
20493,29574176
20494,28707718
20495,37326636
20496,28911504
20497,28208750
20498,30898628
20499,47248770
20500,27115632
