Registration Number,Annual Turnover
20001,26141367
20002,36835121
20003,29645181
20004,44606167
20005,35190059
20006,32846046
20007,30333291
20008,23885144
20009,28376840
20010,19221802
20011,27755930
20012,38468318
20013,39693854
20014,22951388
20015,24206060
20016,31897348
20017,40701325
20018,15118616
20019,37424147
20020,23775739
20021,20606824
20022,34006431
20023,21594941
20024,23030215
20025,32286931
20026,19557557
20027,35081034
20028,33685549
20029,32812347
20030,23614600
20031,41118325
20032,36048501
20033,28944023
20034,33762867
20035,20578337
20036,21703637
20037,39044498
20038,30085555
20039,18393859
20040,25422044
20041,26942655
20042,22762917
20043,24356914
20044,24248646
20045,38694148
20046,19257449
20047,22834343
20048,36373721
20049,23865501
20050,24435360
20051,39713056
20052,38187650
20053,19140398
20054,26073462
20055,34996206
20056,30473317
20057,25302877
20058,26213859
20059,35234082
20060,25131329
20061,17170446
20062,27709998
20063,31862010
20064,44051467
20065,29173254
20066,35074348
20067,23659243
20068,16823305
20069,23163035
20070,43885483
20071,27834190
20072,25641350
20073,19283574
20074,25959310
20075,25127091
20076,24673661
20077,34383479
20078,29558928
20079,26863881
20080,16827218
20081,33139294
20082,26414864
20083,29273317
20084,40600571
20085,35157775
20086,29498792
20087,21501161
20088,36129567
20089,37459566
20090,27392739
20091,23729139
20092,16867969
20093,25706614
20094,18821177
20095,38551158
20096,27477448
20097,29980565
20098,28968050
20099,24746268
20100,24659265
20101,31698900
20102,24917644
20103,37374992
20104,20022326
20105,30408260
20106,35886179
20107,29667787
20108,28116667
20109,35918214
20110,28439954
20111,26582213
20112,36071037
20113,23171591
20114,40407207
20115,35954148
20116,45361328
20117,18163330
20118,38391819
20119,21730895
20120,35053227
20121,23641438
20122,29609529
20123,28794148
20124,18798001
20125,50885726
20126,25941936
20127,25008675
20128,20553066
20129,30090398
20130,36142345
20131,23668244
20132,16037869
20133,25723199
20134,35694715
20135,32362583
20136,25971960
20137,30320409
20138,27545845
20139,35379254
20140,25050843
20141,35473085
20142,27094467
