,Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bin,Total_Space_New
0,Airport West,3,t,Nelson,2016-09-03,13.5,3042.0,3,2,1,303.0,Western Metropolitan,3464,840000,Nearby,9
1,Albert Park,2,h,hockingstuart,2016-09-03,3.3,3206.0,2,1,0,120.0,Southern Metropolitan,3280,1275000,Nearby,5
2,Albert Park,2,h,Thomson,2016-09-03,3.3,3206.0,2,1,0,159.0,Southern Metropolitan,3280,1455000,Nearby,5
3,Alphington,4,h,Brace,2016-09-03,6.4,3078.0,3,2,4,853.0,Northern Metropolitan,2211,2000000,Nearby,13
4,Alphington,3,h,Jellis,2016-09-03,6.4,3078.0,3,2,2,208.0,Northern Metropolitan,2211,1110000,Nearby,10
5,Altona,3,h,Greg,2016-09-03,13.8,3018.0,3,2,1,352.0,Western Metropolitan,5301,520000,Nearby,9
6,Altona North,5,h,FN,2016-09-03,11.1,3025.0,5,3,6,592.0,Western Metropolitan,5132,1085000,Nearby,19
7,Altona North,3,h,Jas,2016-09-03,11.1,3025.0,3,1,2,533.0,Western Metropolitan,5132,781000,Nearby,9
8,Altona North,4,h,hockingstuart,2016-09-03,11.1,3025.0,3,1,1,537.0,Western Metropolitan,5132,857500,Nearby,9
9,Armadale,2,u,Jellis,2016-09-03,6.3,3143.0,2,1,1,50.0,Southern Metropolitan,4836,599000,Nearby,6
10,Ascot Vale,2,u,Nelson,2016-09-03,5.9,3032.0,3,1,2,50.0,Western Metropolitan,6567,455000,Nearby,8
11,Ashburton,4,h,Marshall,2016-09-03,11.0,3147.0,4,3,2,753.0,Southern Metropolitan,3052,2650000,Nearby,13
12,Ashburton,2,h,Marshall,2016-09-03,11.0,3147.0,3,1,1,593.0,Southern Metropolitan,3052,1820000,Nearby,7
13,Ashwood,2,h,Tim,2016-09-03,12.2,3147.0,2,1,1,583.0,Southern Metropolitan,2894,995000,Nearby,6
